job,stage,condition,seed,metric,value,source
upsampling/s512_n600_locality_aware_seed42,upsampling,s512_n600_locality_aware,42,final_val_mse,0.01484434867153565,jobs/upsampling/s512_n600_locality_aware_seed42/attempt_002/metrics/run_summary.json
upsampling/s512_n3000_transpose_conv_seed42,upsampling,s512_n3000_transpose_conv,42,test_mse,0.0354868821700414,jobs/upsampling/s512_n3000_transpose_conv_seed42/attempt_002/metrics/run_summary.json
upsampling/s512_n3000_transpose_conv_seed42,upsampling,s512_n3000_transpose_conv,42,test_ssim,0.7064936955769857,jobs/upsampling/s512_n3000_transpose_conv_seed42/attempt_002/metrics/run_summary.json
upsampling/s512_n3000_transpose_conv_seed42,upsampling,s512_n3000_transpose_conv,42,best_val_mse,0.03514117142558098,jobs/upsampling/s512_n3000_transpose_conv_seed42/attempt_002/metrics/run_summary.json
upsampling/s512_n3000_transpose_conv_seed42,upsampling,s512_n3000_transpose_conv,42,final_val_mse,0.03520729172229767,jobs/upsampling/s512_n3000_transpose_conv_seed42/attempt_002/metrics/run_summary.json
upsampling/s512_n3000_locality_aware_seed42,upsampling,s512_n3000_locality_aware,42,test_mse,0.011237960278987885,jobs/upsampling/s512_n3000_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s512_n3000_locality_aware_seed42,upsampling,s512_n3000_locality_aware,42,test_ssim,0.8878363095919292,jobs/upsampling/s512_n3000_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s512_n3000_locality_aware_seed42,upsampling,s512_n3000_locality_aware,42,best_val_mse,0.011217754361530144,jobs/upsampling/s512_n3000_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s512_n3000_locality_aware_seed42,upsampling,s512_n3000_locality_aware,42,final_val_mse,0.011217754361530144,jobs/upsampling/s512_n3000_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s512_n6000_transpose_conv_seed42,upsampling,s512_n6000_transpose_conv,42,test_mse,0.035428354849418,jobs/upsampling/s512_n6000_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s512_n6000_transpose_conv_seed42,upsampling,s512_n6000_transpose_conv,42,test_ssim,0.7079949076970419,jobs/upsampling/s512_n6000_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s512_n6000_transpose_conv_seed42,upsampling,s512_n6000_transpose_conv,42,best_val_mse,0.03501964526375135,jobs/upsampling/s512_n6000_transpose_conv_seed42/attempt_001/metrics/run_summary.json
